：	;_
暗渡陈仓	adic
按道理	adl_
奥地利	adli
澳大利亚	adly
安定团结	adtj
爱迪生	adu_
黯淡无光	adwg
安度晚年	adwn
爱得要死	adys
阿尔卑斯	aebs
哀而不伤	aebu
阿尔巴尼亚	aeby
阿尔法	aef_
阿尔及利亚	aejy
阿尔及尔	aeje
爱尔兰	ael_
安抚安抚	afaf
埃菲尔铁塔	afet
阿富汗	afh_
阿凡提	aft_
安分守己	afuj
安分知足	afvz
案发现场	afxi
阿哥阿妹	agam
爱岗敬业	agjy
安哥拉	agl_
爱国人士	agru
阿根廷	agt_
熬更守夜	aguy
爱国者	agv_
爱国主义	agvy
爱国之心	agvx
矮个子	agz_
哀鸿遍野	ahby
爱恨交织	ahjv
昂起	ahqi_
盎然	ahrj
安好如初	ahri
盎司	ahsi
昂头	ahtz
安徽省	ahu_
昂首	ahuz
爱好者	ahv_
昂着	ahve
昂扬	ahyh
肮脏	ahzh
矮矮	aiai
癌变	aibm
爱才	aicd
挨次	aici
艾草	aicc
挨打	aida
哀悼	aidc
爱戴	aidd
挨罚	aifa
爱抚	aifu
爱妃	aifw
爱国	aigo
哀告	aigc
挨个	aige
爱岗	aigh
爱好	aihc
爱河	aihe
爱恨	aihf
爱火	aiho
爱护	aihu
暗戳戳	aii_
哀愁	aiiz
爱巢	aiic
爱称	aiig
爱吃	aiii
挨近	aijb
埃及	aiji
爱将	aijl
爱看	aikj
爱哭	aiku
隘口	aikz
艾灸	aijq
娭毑	aijp
按常理	ail_
矮了	aile
爱恋	ailm
爱侣	ailv
爱慕	aimu
挨骂	aima
哀鸣	aimk
爱民	aimb
爱你	aini
矮胖	aiph
挨批	aipi
爱情	aiqk
矮墙	aiql
哀切	aiqp
哀求	aiqq
爱人	airf
爱死	aisi
挨踢	aiti
哀叹	aitj
爱听	aitk
哀痛	aits
爱徒	aitu
爱神	aiuf
爱上	aiuh
碍事	aiui
碍手	aiuz
挨着	aive
癌症	aivg
爱玩	aiwj
爱心	aixb
矮小	aixn
暗潮汹涌	aixy
哎呀	aiya
爱意	aiyi
碍眼	aiyj
哎哟	aiyo
哎呦	aiyz
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
艾叶	aiye
矮子	aizi
爱憎	aizg
阿昌族	aizu
挨揍	aizz
挨宰	aizd
安静安静	ajaj
挨家挨户	ajah
挨肩并足	ajbz
挨肩擦背	ajcb
安静了	ajl_
安家落户	ajlh
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
氨基酸	ajs_
暗箭伤人	ajur
安家置业	ajvy
爱看不看	akbk
安卡拉	akl_
阿拉伯	alb_
阿里巴巴	albb
爱理不理	albl
阿拉伯联合酋长国	albg
阿拉伯数字	albz
阿鲁巴	alba
阿拉丁	ald_
按劳分配	alfp
安理会	alh_
按理来说	allu
奥林匹克	alpk
阿联酋	alq_
按劳取酬	alqi
安乐死	als_
按理说	alu_
阿里山	aluj
安乐窝	alw_
埃里温	alwf
暗流涌动	alyd
暗里一套	alyt
按摩按摩	amam
挨门挨户	amah
阿猫阿狗	amag
哀莫大于心死	amds
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
阿姆斯特丹	amsd
爱美之心	amvx
挨门逐户	amvh
奥妙无穷	amwq
傲慢无礼	amwl
爱慕虚荣	amxr
安眠药	amy_
爱面子	amz_
暗暗	anan
安邦	anbh
案板	anbj
岸边	anbm
安瓿	anbu
按捺不住	anbv
懊恼不已	anby
暗藏	anch
按此	anci
暗忖	ancy
碍难从命	ancm
暗道	andc2
暗地	andi
暗淡	andj
安定	andk
安度	andu
安顿	andy
案发	anfa
暗讽	anfg
安放	anfh
案犯	anfj
安抚	anfu
暗格	ange
暗沟	angz
暗号	anhc
暗害	anhd
暗合	anhe
暗含	anhj
暗黄	anhl
暗红	anhs
安徽	anhv
暗黑	anhw
安魂	anhy
安插	ania
暗潮	anic
暗沉	anif
暗娼	anih
暗疮	anil
暗处	aniu
鹌鹑	aniy
按季	anji
案件	anjm_
暗礁	anjn
按揭	anjp
案卷	anjr
安居	anju
安家	anjx
安康	ankh
暗亏	ankv
案例	anli_
安拉	anla
安乐	anle
按铃	anlk
暗恋	anlm
暗流	anlq
暗绿	anlv
氨纶	anly
安民	anmb
鞍马	anma
暗门	anmf
安眠	anmm
安谧	anmi
按摩	anmo
安曼	anmj
按钮	annq
按捺	anna
安能	anng
安宁	annk
按年	annm
安培	anpw
安寝	anqb
按期	anqi_
案情	anqk
按日	anri
安然	anrj_
按揉	anrz
暗锁	anso
安泰	antd
暗探	antj
安妥	anto
案头	antz
暗示	anui2
暗杀	anua
暗哨	anuc
鞍山	anuj
安设	anue
安神	anuf
安生	anug
岸上	anuh
按说	anuo
谙熟	anuu
安睡	anuv
按着	anve
安置	anvi
安卓	anvo
暗中	anvs
按住	anvu
安稳	anwf
安心	anxb
安息	anxi
安详	anxl
暗线	anxm
暗笑	anxn
安歇	anxp
按下	anxx
按压	anya
暗夜	anye
暗影	anyk
按月	anyt
暗语	anyu
暗涌	anys
案子	anzi_
安葬	anzh
安坐	anzo
嗷嗷	aoao
傲岸	aoan
凹槽	aocc
熬到	aodc
拗断	aodr
奥迪	aodi
熬过	aogo
傲骨	aogu
懊悔	aohv
凹痕	aohf
熬成	aoig
傲娇	aojn
凹进	aojb
傲慢	aomj
澳门	aomf
奥秘	aomi
奥妙	aomn
凹面	aomm
懊恼	aonc
傲气	aoqi
傲人	aorf
傲然	aorj
懊丧	aosh
熬死	aosi
熬汤	aoth
傲视	aoui
奥数	aouu
澳洲	aovz
鏖战	aovj
熬制	aovi
熬煮	aovu
翱翔	aoxl
凹陷	aoxm
熬药	aoyc
熬夜	aoye
熬鹰	aoyk
奥运	aoyy
奥义	aoyi
澳元	aoyr
遨游	aoyz
凹下	aoxx
安排安排	apap
安贫乐道	apld
哀其不幸	aqbx
安全带	aqd_
安全第一	aqdy
爱琴海	aqh_
安全感	aqg_
安全局	aqj_
爱情价更高	aqjg
鞍前马后	aqmh
安全起见	aqqj
爱钱如命	aqrm
爱情片	aqp_
安全性	aqx_
安全系数	aqxu
安然如故	arrg
安然入睡	arru
安然入眠	arrm
傲然挺立	artl
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
安然无恙	arwy
安然无事	arwu
黯然销魂	arxh
傲然屹立	aryl
安然自若	arzr
阿塞拜疆	asbj
埃塞俄比亚	asey
艾森豪威尔	ashe
爱斯基摩	asjm
奥斯卡	ask_
爱死了	asl_
奥斯陆	aslu
阿斯马拉	asml
阿司匹林	aspl
暗送秋波	asqb
阿斯塔纳	astn
凹凸不平	atbp
暗通款曲	atkq
凹透镜	atj_
按图索骥	atsj
安徒生	atu_
安土重迁	atvq
凹凸有致	atyv
哀痛欲绝	atyj
碍手碍脚	auaj
爱说不说	aubu
安守本分	aubf
安神定魄	audp
阿什哈巴德	auhd
昂首阔步	aukb
暗室亏心	aukx
安身立命	aulm
阿诗玛	aum_
爱沙尼亚	auny
傲视群雄	auqx
昂首挺胸	autx
唉声叹气	autq
爱谁谁	auu_
安身之地	auvd
安身之所	auvs
安史之乱	auvl
安身之处	auvi
昂首望天	auwt
爱生恶死	auws
安装版	avb_
安枕而卧	avew
安知非福	avff
安知非祸	avfh
暗中摸索	avms
安装目录	avml
安之若素	avrs
安枕无忧	avwy
爱之欲其生	avyu
安慰安慰	awaw
奥委会	awh_
爱屋及乌	awjw
暗无天日	awtr
爱信不信	axbx
暗箱操作	axcz
按需分配	axfp
按下葫芦起来瓢	axhp
暗下决心	axjx
爱新觉罗	axjl
安心了	axl_
阿修罗	axlo
安心乐意	axly
安享晚年	axwn
暗香疏影	axuy
爱惜羽毛	axym
奥运会	ayh_
爱因斯坦	ayst
安营扎寨	ayvv
哎呦喂	ayw_
安有完卵	aywl
安于现状	ayxv
艾滋病	azb_
爱憎分明	azfm
腌臜泼才	azpc
暗自庆幸	azqx
爱咋咋地	azzd
阿拉斯加	alsj
阿肯色	aks_
爱达荷	adh_
艾奥瓦	aawa
奥古斯塔	agst
安那波利斯	anbs
奥尔巴尼	aebn
奥斯汀	astk
奥林匹亚	alpy
按键	aj2
爱恨情仇	ahqi2
暗器	anqi2
啱	anku
捱	aift
鿫	aoqd
揞	anfo
垇	aota
荌	anc_
娭	ainu
菴	ancd
咹	ankn
嶅	'aofe_
按	a2
安装	a3
不	b_
部	bu_
报	bc_
本	bf_
备	bww_
北	bwl_
保	bcr_
表	bn_
办	bj_
并	bk_
比	bi_
步	buv_
把	ba_
标	bnm_
被	bw_
别	bp_
变	bmw_
百	bda_
必	bid_
包	bcb_
布	buu_
八	bap_
便	bmr_
版	bjp_
边	bm_
病	bkb_
白	bd_
巴	bav_
半	bjd_
班	bjw_
波	bod_
编	bms_
兵	bkq_
补	bup_
帮	bh_
币	bip_
笔	biv_
博	bou_
般	bjv_
倍	bwr_
播	bof_
遍	bmz_
板	bjm_
毕	bibu
败	bdk_
宾	bbb_
摆	bdf_
冰	bkd_
避	biz_
暴	bco_
闭	bim_
奔	bfd_
杯	bwm_
颁	bjb_
伴	bjr_
勃	boul
拨	bo_
拔	baf_
胞	bcos
贝	bwkr
薄	bcc_
邦	bhf_
伯	bor_
爆	bch_
滨	bb_
玻	bow_
饱	bcu_
壁	biu_
捕	buf_
抱	bcf_
拜	bdu_
辈	bwfi
搬	bjf_
搏	bofc
悲	bwf_
堡	bur_
斌	bbw_
榜	bhmf
碑	bwu_
坝	bat_
辩	bml_
爸	bab_
柏	bdm_
泊	bodb
舶	bovb
霸	bay_
弊	bidc
彼	bii_
罢	bas_
碧	biw_
剥	bce_
渤	bodl
饼	bku_
彬	bbm_
炳	bkh_
斑	bjww
鼻	bizl
鲍	bca_
鞭	bmg_
棒	bhm_
臂	biuo
扮	bjfd
濒	bbdr
秉	bkp_
卜	bol_
泵	bgu_
贬	bmk_
彪	bnh_
膀	bho_
丙	bka_
埠	but_
驳	bomx
镑	bhj_
绑	bhs_
傍	bhr_
芭	bac_
崩	bge_
磅	bhu_
簿	bovc
鳖	bpda
哺	buk_
怖	bux_
蔽	bic_
匾	bmkc
跋	baz_
苯	bfc_
葆	bccm
瀑	bcd_
豹	bcv_
殡	bbd_
叭	bakb
卑	bwp_
脖	booz
蚌	bgi_
悖	bwx_
庇	big_
拌	bjfb
扁	bmh_
褒	bcw_
扳	bjfy
痹	bibl
缤	bbs_
瓣	bjl_
膊	boo_
惫	bwwx
摒	bkf_
毙	bib_
憋	bpd_
蹦	bg_
坂	bjt_
柄	bkm_
簸	bovy
弼	bigg
菠	bocy
靶	bag_
阪	bje_
礴	bouc
迸	bgz_
绊	bjs_
绷	bgs_
谤	bhy_
雹	bcy_
佰	bdr_
疤	babb
箔	bov_
蓓	bwc_
匕	bipv
鄙	bike
陛	bie_
鬓	bba_
卞	bmdx
槟	bbmb
镖	bnj_
梆	bhme
孢	bczs
裨	bipu
掰	bduu
铂	boj_
蕃	boct
汴	bmd_
苞	bccs
裱	bnp_
陂	bwe_
煲	bcrh
笆	bavb
钚	buj_
辫	bmlu
亳	bowq
贲	biur
耙	bal_
钵	bojb
浜	bhd_
帛	bob_
敝	bidw
鲅	baa_
钡	bwj_
狈	bwq_
瘪	bpb_
呗	bwk_
砭	bmu_
禀	bkw_
膘	bno_
飙	bnq_
蓖	bicb
粑	bam_
岜	bae_
焙	bwh_
擘	bouu
褓	bcp_
镳	bnjh
饽	bouz
苄	bmc_
摈	bbf_
跛	boz_
灞	bad_
膑	bbo_
吡	bikb
蝙	bmic
捭	bdfu
篦	bivb
嘣	bgk_
钹	bojd
俾	bir_
铋	bij_
稗	bdh_
钣	bjjy
蒡	bhc_
碚	bwuk
钯	baj_
瘢	bjby
婊	bnn_
蹩	bpdr
毖	bibb
筚	bivu
趵	bcz_
荸	bicz
薜	bicu_
婢	bin_
檗	boum
哔	bik_
卟	bukb
鳊	bma_
邴	bkbe
骠	bnmx
弁	bmsc
锛	bfj_
濞	bidl
镔	bbj_
逋	buz_
捌	bafd
秕	bih_
愎	bix_
畚	bfs_
妣	binb
飑	bnjs
豳	bbe_
髌	bbg_
杓	bnmu
甏	bguw
箅	bivl
傧	bbr_
啵	bok_
鹁	boun
晡	buo_
庳	bwgu
髀	bigu
鞴	bwgy
畀	bit_
滗	bidm
褊	bmp_
菝	bacd
魃	bagd
癍	bjbw
坌	bfb_
狴	biq_
嬖	biun
碥	bmuc
鳔	bna_
醭	buyn
鐾	bwuj
忭	bmx_
瘭	bnb_
踣	bozk
镚	bgj_
祊	bgp_
鲌	boa_
朳	bamb
犇	bfn_
妭	ban_
胈	bao_
羓	bayb
鲃	baab
邠	bbbe
栟	bfm_
琫	bgw_
𠳐	bhk_
玤	bhw_
棓	bhmk
塝	bht_
搒	bhff
赑	bikr
坒	bibt
佖	birb
邲	bibe
诐	biy_
珌	biwb
觱	bixy
鲾	bia_
柈	bjmb
昄	bjoy
湴	bjdy
靽	bjgb
昺	bko_
蛃	bki_
抃	bmf_
昪	bmo_
萹	bmcc
俵	bnr_
脿	bnoy
蔈	bnc_
熛	bnhx
儦	bnrh
藨	bnch
僰	boar
砵	boub
哱	bokz
嶓	boet
镈	bojc
馞	boh_
蔀	buc_
椑	bwmu
糒	bwmy
𬭛	bojy
𬷕	bufn
欂	bomc
必须	bx_
不同	bt_
保证	bv_
并且	bq_
必要	by_
不再	bz_
比赛	bs_
本来	bl_
不然	br_
不饿	be_
爸爸	baba
八宝	babc
八百	babd
芭比	babi
把柄	babk
霸榜	babh
拔草	bacc
八层	bacg
八点	badm
霸道	badc
吧嗒	bada
拔掉	badn
巴豆	badz
北爱尔兰	bael
把风	bafg
八方	bafh
拔高	bagc
八个	bage
把关	bagr
罢工	bags
八股	bagu
八卦	bagx
扒光	bagl
疤痕	bahf
拔河	bahe
跋扈	bahu
八荒	bahl
不安好心	bahx
拔出	baiu
不按常理	bail
不按常理出牌	baip
扒车	baie
八成	baig
靶场	baih
把持	baii
吧唧	baji
拔尖	bajm
八角	bajn_
巴结	bajp
扒开	bakd
罢课	bake
把控	baks
巴库	baku
扒拉	bala
八两	ball
巴林	balb
罢了	bale
巴黎	bali
霸凌	balk
八路	balu
芭蕾	balw
爸妈	bama
拔毛	bamc
把脉	bamd
把门	bamf
罢免	bamm
八年	banm
把弄	bans
扒皮	bapi
八婆	bapo
不安全	baq_
霸权	baqr
霸气	baqi
八千	baqm
拔取	baqu
八日	bari
拔丝	basi
罢赛	basd
八岁	basv
吧台	batd
八天	batm
拔腿	batv
跋涉	baue
八十	baui
巴蜀	bauu_
把手	bauz_
八折	bave
巴掌	bavh
霸占	bavj
霸主	bavu
把握	bawo
把稳	bawf
霸王	bawh
把玩	bawj
靶心	baxb
巴西	baxi_
八仙	baxm
罢休	baxq
拔下	baxx
八旬	baxy
拔牙	baya
霸业	baye
拔营	bayk
八一	bayi
八月	bayt
八字	bazi
保安族	bazu
并不比	bbbi
包不包	bbbc
不不不	bbbu
别别别	bbbp
帮不帮	bbbh
不卑不亢	bbbk
褒贬不一	bbby
百病不侵	bbbq
不比不知道	bbbd
办不到	bbdc
斑斑点点	bbdd
巴不得	bbde
百般刁难	bbdn
不必当真	bbdv
逼不得已	bbdy
巴巴多斯	bbds
包办代替	bbdt
并不多见	bbdj
步步登高	bbdg
不必多礼	bbdl
缤纷	bbff_
百般奉承	bbfi
百般抚慰	bbfw
比不过	bbgo
宾馆	bbgr
步步高升	bbgu
并不会	bbh_
滨海	bbhd
滨河	bbhe
滨湖	bbhu
比比划划	bbhh
包办婚姻	bbhy
办不成	bbi_
百步穿杨	bbiy
百病缠身	bbiu
滨江	bbjl_
鬓角	bbjn
比比皆是	bbju
步步惊心	bbjx
步步紧逼	bbjb
标本兼治	bbjv
白白净净	bbjj_
不包括	bbk_
宾客	bbke
必不可少	bbku
必不可缺	bbkq
八百里	bbl_
濒临	bblb
步步莲花	bblh
宾利	bbli
冰冰凉凉	bbll_
殡殓	bblm
巴比伦	bbly
便把令来行	bblx
白白浪费	bblf
鬓毛	bbmc
爸爸妈妈	bbmm
帮帮忙	bbmh
把把脉	bbmd
并不能	bbn_
白白嫩嫩	bbnn
别不耐烦	bbnf
抱不平	bbp_
摆不平	bbpk
宾朋	bbpg
白白胖胖	bbpp
北半球	bbq_
摈弃	bbqi
彪炳千古	bbqg
跛鳖千里	bbql
兵败如山倒	bbrd
并不容易	bbry
并不认为	bbrw
濒死	bbsi
棒棒糖	bbt_
蹦蹦跳跳	bbtt
并不是	bbu_
摆摆手	bbuz
并不是说	bbuu
比不上	bbuh
帮不上忙	bbum
步步生莲	bbul
彪炳史册	bbuc
八宝粥	bbv_
并不知道	bbvd
百般折磨	bbvm
八拜之交	bbvj
宾主	bbvu_
不辨真伪	bbvw
不白之冤	bbvy
被逼无奈	bbwn
卑鄙无耻	bbwi
北部湾	bbwj
濒危	bbww
白璧微瑕	bbwx
步步为营	bbwy
并不完全	bbwq
并不想	bbx_
别不信	bbxb
兵不血刃	bbxr
并不需要	bbxy
不必要	bby_
北冰洋	bbyh
彬彬有礼	bbyl
宾语	bbyu
兵不厌诈	bbyv
并不一定	bbyd
并不意外	bbyw
饱饱眼福	bbyf
不必言谢	bbyx
巴布亚新几内亚	bbyy
半辈子	bbz_
殡葬	bbzh
不必在意	bbzy
不把自己当外人	bbzr
百般阻挠	bbzn
保安	bcan
宝宝	bcbc
保本	bcbf
包庇	bcbi
包办	bcbj
刨冰	bcbk
褒贬	bcbm
报表	bcbn_
宝贝	bcbw
爆仓	bcch
饱餐	bccj
报错	bcco
保存	bccy
包菜	bccd
报答	bcda
报道	bcdc_
保底	bcdi
保单	bcdj
报端	bcdr
保定	bcdk
宝典	bcdm
暴跌	bcdp
暴动	bcds
报毒	bcdu
报恩	bcen
不辞而别	bceb
爆发	bcfa
暴风	bcfg
包房	bcfh
报复	bcfu_
报废	bcfw
不测风云	bcfy
报告	bcgc
宝盖	bcgd
饱嗝	bcge
包干	bcgj
曝光	bcgl
本草纲目	bcgm
包裹	bcgo
保管	bcgr
包公	bcgs
苞谷	bcgu
宝贵	bcgv
饱和	bche
抱恨	bchf
包含	bchj
包换	bchr
保护	bchu
包好	bchc
包藏祸心	bchx
宝刹	bcia
爆炒	bcic_
包车	bcie
包场	bcih
保持	bcii
爆出	bciu
报酬	bciz_
刨床	bcil
抱紧	bcjb
不存芥蒂	bcjd
宝鸡	bcji
报警	bcjk
褒奖	bcjl
保健	bcjm_
保洁	bcjp
保举	bcju
报价	bcjx
暴君	bcjy
包括	bcko
报考	bckc
报刊	bckj
剥壳	bcke
暴恐	bcks
爆开	bckd
病从口入	bckr
病从口入，祸从口出	bcki
宝库	bcku
不错了	bcl_
报了	bcle
爆冷	bclg
暴力	bcli
包揽	bclj
不辞劳苦	bclk
爆料	bcln
包罗	bclo
爆裂	bclp
保留	bclq
暴乱	bclr
暴露	bclu
堡垒	bclw
报名	bcmk
宝马	bcma
百辞莫辩	bcmb
保密	bcmi
饱满	bcmj
薄膜	bcmo
保姆	bcmu
胞妹	bcmw
保暖	bcnr
包年	bcnm
暴虐	bcnt
暴怒	bcnu
爆棚	bcpg
报盘	bcpj
报批	bcpi
包票	bcpn
薄片	bcpm
爆破	bcpo
包赔	bcpw
抱歉	bcqm
抱起	bcqi
报请	bcqk
保全	bcqr
抱屈	bcqu
保人	bcrf
包容	bcrs
报送	bcss
报丧	bcsh
暴死	bcsi
包退	bctv
煲汤	bcth
宝塔	bcta
爆胎	bctd
报摊	bctj
报亭	bctk
暴跳	bctn
抱团	bctr
暴徒	bctu
包头	bctz
暴晒	bcud
报社	bcue
报审	bcuf
报上	bcuh
宝石	bcui
薄纱	bcua
宝山	bcuj
抱残守缺	bcuq
报数	bcuu
报税	bcuv
保守	bcuz
爆炸	bcva
抱着	bcve
抱枕	bcvf
保障	bcvh
报纸	bcvi
报站	bcvj
包装	bcvl_
保重	bcvs
抱住	bcvu
保准	bcvy
煲粥	bcvz
保温	bcwf
辩才无碍	bcwa
博茨瓦纳	bcwn
宝物	bcwu
包围	bcww_
报信	bcxb
报喜	bcxi
暴行	bcxk
包厢	bcxl_
保险	bcxm_
报销	bcxn
保修	bcxq
胞兄	bcxs
暴雪	bcxt
包下	bcxx
龅牙	bcya
包夜	bcye
保养	bcyh
报以	bcyi
报应	bcyk
抱怨	bcyr
包月	bcyt
暴雨	bcyu
保佑	bcyz_
饱餐一顿	bcyd
包扎	bcza
暴躁	bczc
暴增	bczg
宝藏	bczh
包子	bczi
宝座	bczo
包租	bczu
暴走	bczz
不得安宁	bdan
不得不	bdb_
不代表	bdbn
百宝	bdbc
拜拜	bdbd
败笔	bdbi
白班	bdbj
百病	bdbk
宝刀不老	bdbl
百变	bdbm
拜别	bdbp
百毒不侵	bdbq
不得不低头	bdbt
摆布	bdbu_
百倍	bdbw
不大不小	bdbx
百读不厌	bdby
不得不服	bdbf
白菜	bdcd
百草	bdcc
白醋	bdcu
不单单	bdd_
不大对劲	bddj
百搭	bdda
拜倒	bddc
白带	bddd
白底	bddi
白丁	bddk
白点	bddm
摆动	bdds
不登大雅之堂	bddt
百度	bddu
不登大雅	bddy
不得而知	bdev
背道而驰	bdei
拔地而起	bdeq
白发	bdfa
百分	bdff
拜访	bdfh_
白饭	bdfj
拜佛	bdfo
白费	bdfw
白癜风	bdfg
白干	bdgj
白宫	bdgs
白鸽	bdge
白光	bdgl
百官	bdgr
白果	bdgo
白骨	bdgu
白给	bdgw
波德戈里察	bdgi
憋得慌	bdhl
摆好	bdhc
百合	bdhe
败坏	bdhk
百货	bdho
不得好死	bdhs
白虎	bdhu
拜会	bdhv
白话	bdhx
白底黑字	bdhz
不动产	bdi_
白痴	bdii
白茶	bdia
掰扯	bdie
不到长城非好汉	bdih
百川	bdir
摆出	bdiu
不对劲	bdj_
白金	bdjb
兵多将广	bdjg
败绩	bdji
白净	bdjk
摆件	bdjm_
白酒	bdjq
白卷	bdjr
败局	bdju_
败家	bdjx
败军	bdjy
不懂就问	bdjw
掰开	bdkd
百科	bdke
遍地开花	bdkh
不大可能	bdkn
摆阔	bdko
不打诳语	bdky
不得了	bdl_
背地里	bdli
别捣乱	bdlr
白了	bdle
白领	bdlk
白脸	bdlm
败落	bdlo
白露	bdlu
败类	bdlw
白蜡	bdla
摆烂	bdlj
摆列	bdlp
不得了了	bdll
布达拉宫	bdlg
白马	bdma
白猫	bdmc
白忙	bdmh
百米	bdmi
摆满	bdmj
摆明	bdmk
白面	bdmm
白描	bdmn
白沫	bdmo
不达目的	bdmd
百年	bdnm_
白嫩	bdnf
百鸟	bdnn
摆弄	bdns
表达能力	bdnl
摆平	bdpk
摆谱	bdpu
白跑	bdpc
白皮	bdpi
摆拍	bdpd
白嫖	bdpn
布达佩斯	bdps
不定期	bdq_
白旗	bdqi
白裙	bdqy
不得其法	bdqf
百强	bdql
不得其所	bdqs
北斗七星	bdqx
白人	bdrf
白日	bdri
不得人心	bdrx
白肉	bdrz
不动如山	bdru
不打算	bds_
白色	bdse
冰冻三尺	bdsi
冰冻三尺，非一日之寒	bdsh
白送	bdss
败诉	bdsu
百岁	bdsv
百态	bdtd
白糖	bdth
摆摊	bdtj
白天	bdtm
白条	bdtn
拜托	bdto_
白兔	bdtu
败退	bdtv
白头	bdtz
白铁	bdtp
不断提高	bdtg
拔得头筹	bdti
白纱	bdua
摆设	bdue
白霜	bdul
摆上	bduh
拜师	bdui
拜山	bduj
白说	bduo
拜神	bduf
不动声色	bdus
不得善终	bduv
拜寿	bduz
别当真	bdv_
百兆	bdvc
摆着	bdve
摆正	bdvg
败仗	bdvh
白纸	bdvi
白昼	bdvz
百战	bdvj
白灼	bdvo
白种	bdvs
白术	bdvu
不懂装懂	bdvd
不雕琢不成器	bdvq
本单位	bdw_
百万	bdwj
宝刀未老	bdwl
百味	bdww
拜望	bdwh
不倒翁	bdwg
白雾	bdwu
北斗星	bdx_
别担心	bdxb
白皙	bdxi
百姓	bdxk
白线	bdxm
拜谢	bdxp
白雪	bdxt
拔刀相助	bdxv
北大西洋	bdxy
半大小子	bdxz
不等于	bdy_
白银	bdyb
白药	bdyc
拜谒	bdye
白羊	bdyh
不得已	bdyi
白眼	bdyj
笨得要死	bdys
弊大于利	bdyl
百元	bdyr
白玉	bdyu
步调一致	bdyv_
白云	bdyy_
不答应	bdyk
柏油	bdyz
不得有误	bdyw
半吊子	bdz_
摆在	bdzd
白字	bdzi
白做	bdzo
白族	bdzu
不打自招	bdzv
败走	bdzz
避而不见	bebj_
避而不答	bebd
避而不谈	bebt
备而不用	beby
不二法门	befm
不二法则	befz
巴尔干	beg_
贝尔格莱德	begd
布尔乔亚	beqy
白俄罗斯	bels
布尔什维克	beuk
不二之选	bevx
巴尔扎克	bevk
本案	bfan
不方便	bfbm
不分彼此	bfbc
笨笨	bfbf
本表	bfbn
奔波	bfbo
本部	bfbu
百分百	bfbd
百分比	bfbi
