冰冻三尺，非一日之寒	uuds
如入无人之境	dgfd
重点建设项目	dmxt
好戏还在后头	domt
如堕五里雾中	dppj
城市热岛效应	dppk
地方民族主义	dril
地方保护主义	drll
三寸不烂之舌	dumb
三月不知肉味	dxmk
埃博拉出血热	dyjp
有理走遍天下	ebif
死马当活马医	eegy
有鼻子有眼儿	eens
有一搭没一搭	efjj2
死无葬身之地	efmd
政治协商会议	efyv
有志者事竟成	eiup
驴唇不对马嘴	elmk
右倾机会主义	elsl
马尔萨斯主义	epml
有限责任公司	epvv
驴头不对马嘴	etmk2
有眼不识泰山	etmn
自由落体运动	etvy
有过之无不及	euvm2
无所不用其极	fbms
一蟹不如一蟹	fcmc
天有不测风云	femy
滑天下之大稽	ffft3
天无绝人之路	ffqa
下无立锥之地	ffxd
无产阶级专政	fgpe2
一步一个脚印	fqfx2
一切皆有可能	fqtb
无人驾驶飞机	fuas
一个鼻孔出气	fueh
汉语拼音方案	fvjw
一发不可收拾	fwmj
法定计量单位	fwvl
海水不可斗量	fxmc2
流行性腮腺炎	fyrd
爱国卫生运动	fyty
爱国主义精神	fyyg
神不知鬼不觉	gmrx
神圣不可侵犯	gome
当面锣对面鼓	grih
破题儿第一遭	gssf
社会沙文主义	gufl
社会民主主义	guil
社会主义经济	guyf
社会主义制度	guyk
社会主义社会	guyu
社会主义革命	guyu2
社会主义建设	guyv
社会主义国家	guyw
工商行政管理	hgyb
气体摩尔体积	hlkt
工农业总产值	hrrl
最高人民法院	htup
明察秋毫之末	hwtf2
士为知己者死	iire
士可杀不可辱	iqhl
民族统一战线	iuqq
民族资产阶级	iuuq
民族区域自治	iuyf
事实胜于雄辩	iwxx
中外合资企业	jbpr
九牛二虎之力	jcoa2
中央国家机关	jgyh
中文信息处理	jilb
挂羊头卖狗肉	jktw2
持不同政见者	jmwu2
据不完全统计	jmwv
拆东墙补西墙	jndd
剥夺政治权利	jnet
摸着石头过河	jngf2
拉大旗作虎皮	jnuu
中级人民法院	jqup
忠孝不能两全	jrmu
中等专业学校	jros
提高经济效益	jtqx
打肿脸充胖子	jxxn2
中国工商银行	jyhy
中国农业银行	jyry2
中国人民银行	jyuy2
中国建设银行	jyxy
吃一堑长一智	kfar
口惠而实不至	kfrg
唯恐天下不乱	khfb
贸易保护主义	khll
在日常生活中	khoj
在这种情况下	kitf
吃不了兜着走	kmii
吃人不吐骨头	kumt
在全国范围内	kuyw
只许州官放火	kvid
传输控制协议	lajv
信息高速公路	leta
信托投资公司	ljjv
历史唯物主义	lkkl
历史唯心主义	lkkl2
厄尔尼诺现象	lpxv2
伸手不见五指	lymj
不幸中之大幸	mdjd
英雄所见略同	mebw
占有一席之地	mefd2
不问青红皂白	mevd
还治其人之身	mfnm
不食人间烟火	mhud2
不足为外人道	mkig
不登大雅之堂	mmno
英特纳雄耐尔	moqp
不费吹灰之力	mpka
不可更新资源	mqff
不可同日而语	mqwv
不知天高地厚	mrfl
不分青红皂白	mtvd
不许百姓点灯	mvrd
不得已而为之	mysv2
八小时工作制	nghn
达摩克利斯剑	nkru
八竿子打不着	nrnn
大国沙文主义	nyfl
对外友好协会	obeu
对外经济贸易	obqh
生米煮成熟饭	ocun
男女授受不亲	odjo2
男子汉大丈夫	onfe
二者必居其一	ouqf
鸡蛋里挑骨头	ovlt
井水不犯河水	oxmx
光天化日之下	pfbf
热锅上的蚂蚁	piwu
恭敬不如从命	pmmu
强不知以为知	pmrr
陈谷子烂芝麻	pnnk
阿尔茨海默病	ppma
成败在此一举	pwkc2
陈胜吴广起义	pxkl
五十步笑百步	pyqq
绿色和平组织	qctq
可遇而不可求	qhrc
可吸入颗粒物	qkgo
相对分子质量	qotc
美索不达米亚	qqmf2
美利坚合众国	qtvy
可望而不可及	qurm
可望而不可即	qurr
简单商品生产	ragg
第三宇宙速度	rdwk
老死不相往来	remc
百闻不如一见	remw2
矮子里选将军	rnlr
百思不得其解	romc
第二宇宙速度	rowk
惶惶不可终日	rrmh
第四宇宙速度	rywk
机械唯物主义	sskl
格林尼治时间	sxxe
空气污染指数	thfc
高不成低不就	tmpt
科蒂纳丹佩佐	tmql
毕其功于一役	tnhy
世界贸易组织	tokq
世界卫生组织	totq
空想社会主义	tqgl
高级知识分子	tqrn
高级人民法院	tqup
高分子化合物	ttno
哀莫大于心死	tvne
科学社会主义	txgl
科学幻想小说	txgv
科学共产主义	txpl
科学教育影片	txre
全球定位系统	ubwq
人有旦夕祸福	uecg
资产阶级专政	ugpe
资产阶级革命	ugpu
人民民主专政	uiie
人民代表大会	uilu
人民生活水平	uioc
人民内部矛盾	uiwb
人不知鬼不觉	umrx
人造地球卫星	undh
资本主义制度	usyk
资本主义社会	usyu
资本主义国家	usyw
革命现实主义	uubl
个人数字助理	uucb
革命乐观主义	uujl
人人得而诛之	uuyv
过屠门而大嚼	uxek
全国代表大会	uylu
全国各族人民	uymi
全国人大代表	uyuv
买办资产阶级	vauq
敢怒而不敢言	vdru
计算机综合征	vrsy
迅雷不及掩耳	vumc
上气不接下气	whmh
上呼吸道感染	wkkf
官僚资本主义	wlul
官僚资产阶级	wluq
非公有制经济	wnef
非对抗性矛盾	wojb
客观唯心主义	wokl
内蒙古自治区	wtry
水至清则无鱼	xgfo3
股票价格指数	xhlc
脱氧核糖核酸	xhsw
立于不败之地	xjmd
股份有限公司	xlev
胜造七级浮屠	xnhx
万变不离其宗	xnmw
前怕狼后怕虎	xrea
前言不搭后语	xumv
辩证唯物主义	xvkl
万万没有想到	xxfg
形状记忆合金	yafq2
少数民族地区	yciy
动量守恒定律	ycwy
手无缚鸡之力	yfqa
四项基本原则	yhnw
国民生产总值	yiol
国民经济计划	yiqx
国务院副总理	ympb
国务院办公厅	ympl2
博采众家之长	ymue3
主观唯心主义	yokl
国际先进水平	ypnc
国际标准书号	ypsk
国内生产总值	ywol
动脉粥样硬化	yxpb
疾风扫落叶	aajk
疾风知劲草	aarm
病急乱投医	acby
以小人之心	aguq
加盟共和国	ahpy4
单位负责人	alcu
路遥知马力	amra
办公自动化	aneb2
单子叶植物	anko
以其人之道	anug
加农榴弹炮	arsd
加利福尼亚	atgf
病毒性肝炎	avrd
几内亚比绍	awfq
多米诺骨牌	bcve
珠江三角洲	bfdf
后浪推前浪	bfjf
名师出高徒	bjiy
现代化建设	blbv
名不见经传	bmwl
坐山观虎斗	bnot
导弹驱逐舰	bpeg
异步电动机	bqhs
竹筒倒豆子	brln
珠穆朗玛峰	btin
反革命分子	buun
现实生活中	bwoj
化学反应式	bxbq
化学方程式	bxrq
久病成良医	capy
急急如律令	ccdk
帕米尔高原	ccpc
平地一声雷	cdfu
平均分子量	cdtc
精神分裂症	cgta
久旱逢甘雨	chmk
原子反应堆	cnbd
乌鲁木齐市	cosp
联合收割机	cpis2
联合国大会	cpyu
乌孜别克族	cqku
聚乙烯塑料	cvdc
聚四氟乙烯	cyhd
米开朗基罗	cyio
平行六面体	cysl
平行四边形	cyyy
火力发电厂	dawl
妇女联合会	ddcu
火焰喷射器	ddkv
土地国有化	ddyb
赤道几内亚	dgaf
三硝基甲苯	dgnm
好事不出门	dime2
土库曼斯坦	dkhd2
墙倒众人推	dluj
三八妇女节	dndm2
三八红旗手	dnqy2
三思而后行	dory
三百六十行	drsy
火箭发动机	drws
埃塞俄比亚	dslf
地效飞行器	dsvv
耕者有其田	dueo
三个臭皮匠	duey2
塔那那利佛	dxxl
自然保护区	ealy
布加勒斯特	eauo
有奶便是娘	edld
长江三角洲	efdf
书记处书记	efmf
政治经济学	efqx
政治教导员	efrk
政治协理员	efyk
马歇尔计划	ehpx
群起而攻之	eirv
布拉柴维尔	ejqp
马拉松赛跑	ejsa
马达加斯加	enaa2
狮子大开口	ennk
犯罪嫌疑人	eodu
布尔什维克	eplr
马克思主义	erol
有机化合物	esbo
独木不成林	esmx
自由贸易区	etky
翻脸不认人	exmu
自动驾驶仪	eyal
自动取款机	eycs
自动柜员机	eyss
君主立宪制	eyxn
无风不起浪	famf
无后坐力炮	fbbd
无所措手足	fbjk2
一去不复返	fdmb
一夫多妻制	febn
一问三不知	fedr
一鼻孔出气	feqh3
无记名投票	ffbh
天涯若比邻	ffmk
海洋性气候	ffro
一碗水端平	fgxc
无巧不成书	fhme
恶事传千里	fill
一锤子买卖	finh
天文望远镜	fiui2
一搭两用儿	fjps
温度露点差	fkun
集体所有制	flbn
亚里士多德	fliy
法西斯主义	flnl2
天不从人愿	fmbc
无条件反射	fmlm
天公不作美	fnmq
爱斯基摩人	fnnu2
沙特阿拉伯	fopl
一物降一物	fopo2
亚特兰蒂斯	foxn3
激光打印机	fpjs
无可无不可	fqfq2
无线电通信	fqhl2
下笔如有神	frdg2
无用武之地	frfd3
一竿子到底	frnk
爱克斯射线	frnq
海军陆战队	frpp
无机化合物	fsbo
一棍子打死	fsne
天高皇帝远	ftdk
一言以蔽之	fuav2
记者招待会	fuju
恶人先告状	funa
一次又一次	fuou
一个心眼儿	fuqs
天安门广场	fwed
一字长蛇阵	fwep
更上一层楼	fwfs
海内存知己	fwkt2
天字第一号	fwrk
无脊椎动物	fxso
无行为能力	fyia
亚得里亚海	fylf
道琼斯指数	gbnc
小米加步枪	gcas
破裂摩擦音	gekg
碰一鼻子灰	gfee
船小好掉头	ggdt
磁盘驱动器	ggev
小商品经济	ggkf
小商品生产	ggkg
碳氢化合物	ghbo
小巫见大巫	ghwh2
首席执行官	gkpw
商品交易所	gksb
破罐子破摔	gnnj2
神经性皮炎	gqrd
神经官能症	gqwa
退而求其次	grcu
碱性氧化物	grho
习惯成自然	grpa2
小儿麻痹症	gska2
小资产阶级	gugq
社会生产力	guoa
磁悬浮列车	gvfa
碳水化合物	gxbo
电解电容器	hchv
日久见人心	hcwq
喜马拉雅山	hejn
卖狗皮膏药	heum
卢沟桥事变	hfsn
电视系列片	hgee
功到自然成	hgep
电视接收机	hgjs
最小公倍数	hgnc
电视发射塔	hgwd
电影摄影机	hhjs
电压互感器	hlfv
晶体振荡器	hljv
晶体二极管	hlor
照葫芦画瓢	hmmh
电子游戏机	hnfs
电子显微镜	hnhi
电子出版物	hnio
工欲善其事	hnki
最大公约数	hnnc
电子公告牌	hnne
电子计算机	hnvs
时势造英雄	hpne
工业总产值	hral
明知山有虎	hrna
工人文化宫	huiw2
杀人不见血	hume
杀人不眨眼	humt3
电话交换机	hvss
覆巢无完卵	hxfx
电动剃须刀	hyao
民以食为天	iahf
文化大革命	ibnu
事后诸葛亮	ibvt
针尖对麦芒	igom
豆腐渣工程	ikft
赶鸭子上架	iona
钢筋混凝土	irfd
铁杵磨成针	iski2
副交感神经	ispq
民族自决权	iues2
为人民服务	iuim
民族共同语	iupv
吉尼斯纪录	ixnj
民主集中制	iyfn
副主任委员	iylk
旧瓶装新酒	jaaf
中华白海豚	jbdx
摄氏温度计	jcfv
抹一鼻子灰	jfee
换汤不换药	jfmm
九一八事变	jfnn
中央办公厅	jgal
中央政治局	jgej2
中央书记处	jgem
摊破浣溪沙	jgff
中央电视台	jghl
中央各部委	jgmt
中央处理器	jgmv
中央情报局	jgtj
中央委员会	jgtu
旧石器时代	jgvl
报喜不报忧	jhmr
指令性计划	jkrx
扩大再生产	jnpg
打鸭子上架	jona
中高层住宅	jtxw
贵人多忘事	jubi
擒贼先擒王	jwnb
拉尼娜现象	jxdv
中国专利局	jyoj2
中国共产党	jypo
中国科学院	jytp
中国同盟会	jywu
中国国民党	jyyo
吃力不讨好	kamd
贪多嚼不烂	kbkd
度君子之腹	kenx
毛泽东思想	kfnq
只要功夫深	khhf
喷气式飞机	khqs
鸣鼓而攻之	khrv
存款准备金	kiuq
领事裁判权	kiys
叽里旮旯儿	kljs
哈萨克斯坦	kmrd
庐山真面目	knat
唯生产力论	kogv
唯物辩证法	koxf
摩尔达维亚	kpnf
在此基础上	kqnw
只怕有心人	kreu2
吹胡子瞪眼	krnt2
在某些方面	ksqr
唐诗三百首	kvdg
元素周期律	kvny
留得青山在	kyvk
里外不是人	lbmu
像煞有介事	lcei
他乡遇故知	lchr
厂长负责制	lecn
偏向虎山行	lgay
供销合作社	lipg
何乐而不为	ljri2
历史博物馆	lkyn
任凭风浪起	llai
西藏自治区	lmey
依葫芦画瓢	lmmh
义务兵役制	lmon
伊斯坦布尔	lndp
里约热内卢	lqph
信用合作社	lrpg2
依样画葫芦	lsfm
住房公积金	lsnq
顾头不顾尾	ltmx2
厄立特里亚	lxof
不平等条约	mcrq
不间断电源	mecf
射电望远镜	mhui
若要人不知	mhur
不明飞行物	mhvo2
英吉利海峡	mitn
各民主党派	miyf
不打不相识	mjmv
萨噶达娃节	mknm
苏伊士运河	mlif
不期然而然	mnaa
巴尔喀什湖	mpkf
不结盟国家	mqhw
不结盟运动	mqhy
不是玩儿的	msbd
艾森豪威尔	mstp
冬季奥运会	mtgu
节目主持人	mtyu
不发达国家	mwnw
不见人下来	mwuc
否定之否定	mwvw
获得性免疫	myra2
东风吹马耳	nakc
欲速则不达	nbwn
斯坦福大学	ndgx
着三不着两	ndmp
斯洛文尼亚	nfif
大汶口文化	nfkb
大汉族主义	nful2
先下手为强	nfyp
大意失荆州	ngei3
先锋派艺术	nifs
大民族主义	niul
八九不离十	njmy
大中型企业	njyr
岗位责任制	nlvn
牵着鼻子走	nnei
大鱼吃小鱼	noko2
太阳能电池	npbf
大陆性气候	npro
山高皇帝远	ntdk
大眼瞪小眼	nttt
大资产阶级	nugq
弃之如敝屣	nvdx
八字没一撇	nwfj
岁月不饶人	nxmu
大部分地区	nxty
斯德哥尔摩	nyqk
大型计算机	nyvs
候风地动仪	oadl
物以稀为贵	oatj
新华通讯社	obog
新殖民主义	oeil
二一添作五	offp
特洛伊木马	ofle
生活必需品	ofqk3
邓小平理论	ogcv
生产合作社	ogpg2
新石器时代	ogvl
生产责任制	ogvn
二七大罢工	ohnh
新文化运动	oiby
新民主主义	oiyl
对抗性矛盾	ojrb
二元方程式	okrq
对口快板儿	okrs
特别行政区	okyy
常任理事国	olby
对苯二甲酸	omow
圣萨尔瓦多	ompb
常务委员会	omtu
双子叶植物	onko
雅鲁藏布江	oomf
常绿阔叶林	oqex
专用计算机	orvs
观世音菩萨	otgm
兵败如山倒	owdl
专属经济区	oxqy
二十一世纪	oyfq
党支部书记	oyxf
二十四小时	oyyh
热力学温标	paxs
光化学烟雾	pbxu
阿米巴痢疾	pcma
阿姆斯特丹	pdnn
威武不能屈	pfmx3
阿波罗计划	pfox
五一劳动节	pftm
光盘刻录机	pgps
弹道式导弹	pgqp
共产主义者	pgyu
黄道十二宫	pgyw
光电二极管	phor
阿拉伯数码	pjlg
阿拉伯半岛	pjlo
阿拉伯数字	pjlw
弦乐四重奏	pjyu
防患于未然	pkja
两条腿走路	pmxa
合成洗衣粉	ppfc
阿尔法粒子	ppfn
阿尔巴尼亚	ppmf
阿尔及利亚	ppmf2
阿尔卑斯山	ppwn2
阿尔贝维尔	ppwp
阴极射线管	psmr
陕甘宁边区	pswy
五分钟热度	ptik
合众国际社	puyg
两审终审制	pwqn
除非己莫为	pwti2
隔行如隔山	pydn
五四青年节	pyvm
约翰内斯堡	qawl
纸包不住火	qcmd
经验交流会	qesu
经济适用房	qfbs
可更新资源	qfof2
经济委员会	qftu2
纪事本末体	qisl
可持续发展	qjqx
细菌性痢疾	qmra
绝大多数人	qnbu
哥斯达黎加	qnna
姜太公钓鱼	qnno2
柴达木盆地	qnsd
必先利其器	qntv
可再生资源	qpof
索尔兹伯里	qpxl2
柴可夫斯基	qqen
纤维蛋白原	qqvc
可惜了儿的	qrid
相忘于江湖	qujf
可望不可即	qumr
等边三角形	rady
简单再生产	rapg
智能机器人	rbsu
笔记本电脑	rfsx
短日照植物	rhho
恨铁不成钢	rimi
军事委员会	ritu
克里姆林宫	rldw
算不了什么	rmie
放射性元素	rmrv
老大徒伤悲	rnyw
快刀斩乱麻	roak
农业集体化	rrfb
农业合作化	rrpb
农业机械化	rrsb
夏季奥运会	rtgu
方程式赛车	rtqa
农林牧副渔	rxof
李自成起义	sepl
六一儿童节	sfsm2
村民委员会	situ
枪打出头鸟	sjij
树倒猢狲散	slep
雇佣兵役制	slon
因斯布鲁克	sner
植物性神经	sorq
柯尔克孜族	spru
桃李满天下	ssff
恩格尔系数	sspc
标准大气压	sunl
格勒诺布尔	suvp
赛过诸葛亮	suvt
机器脚踏车	svxa
本初子午线	synq
秋风扫落叶	tajk
稳坐钓鱼台	tbil
哀的美敦书	tdqe
利息所得税	tebt
高技术产业	tjsr
程控交换机	tjss2
空口说白话	tkvv2
移位寄存器	tlwv
高处不胜寒	tmms
透不过气来	tmuc
毕达哥拉斯	tnqn
高级工程师	tqhj
香格里拉县	tslv
目标责任制	tsvn
睁眼说瞎话	ttvv2
世上无难事	twfi
贫贱不能移	twmt
科学研究院	txgp
科学发展观	txwo
劳动生产率	tyop
蒙得维的亚	tyqf
劳动密集型	tywy
人与人之间	ufue3
全民所有制	uibn
人民解放军	uicr
人民出版社	uiig
人民大会堂	uino
人民子弟兵	uino2
人民陪审员	uipk
人民共和国	uipy
人民检察院	uisp
春雨贵如油	ukjf
个体所有制	ulbn
个体工商户	ulhs2
人不可貌相	umqq
人大常委会	unou
人生地不熟	uodt
企业所得税	urbt2
皮笑肉不笑	urwr
个人所得税	uubt
蚂蚁搬泰山	uujn
蚍蜉撼大树	uujs2
蚂蚁啃骨头	uukt
个人计算机	uuvs
全国总工会	uyau
凝固汽油弹	uyfp
莫氏硬度表	vcgv
司马昭之心	vehq
飞航式导弹	vgqp
青年突击队	vgtp
临时抱佛脚	vhjx
青铜器时代	vivl
证券交易所	vlsb
调制解调器	vncv2
计算机程序	vrsk
计算机网络	vrsq
计算机系统	vrsq2
计算机技术	vrss
计算机病毒	vrsv
诉讼代理人	vvlu
计划单列市	vxap
计划委员会	vxtu
且行且珍惜	vyvr
同量异位素	wcbv
非政府组织	wekq
非一日之寒	wfhs
宫商角徵羽	wgcg2
非致命武器	wguv
富贵不能淫	wjmf
肉麻当有趣	wkgi
同位素扫描	wlvj
非条件反射	wmlm
宏观经济学	woqx
非再生资源	wpof2
贝尔格莱德	wpsy
网络计算机	wqvs2
同分异构体	wtbl
安全理事会	wubu
非企业法人	wuru
同素异形体	wvbl
宇宙航行员	wwgk
非典型肺炎	wwyd
发展中国家	wxjw
脚踏两只船	xapg2
脚踩两只船	xapg3
水力发电站	xawx
水火不相容	xdmt2
尽一切可能	xfqb
居民身份证	ximv
前庭蜗神经	xkuq
印度尼西亚	xkxf
林黛玉葬花	xlbm
脊髓灰质炎	xmed
普莱西德湖	xmlf
普通老百姓	xord
普通劳动者	xotu
戈尔巴乔夫	xpme
脸红脖子粗	xqxc2
学术研讨会	xsgu
尼格罗人种	xsot
少壮不努力	yama
得理不饶人	ybmu
行政诉讼法	yevf
欧洲共同体	yfpl
十年如一日	ygdh2
十年九不遇	ygjh
少年先锋队	ygnp
主要负责人	yhcu
国民革命军	yiur
刑事诉讼法	yivf
律师事务所	yjib
手扶拖拉机	yjjs
手指头肚儿	yjts
国务院总理	ympb2
十八般武艺	yngm
十八层地狱	ynxe
主观能动性	yobr
微观经济学	yoqx
南罗得西亚	yoyf3
国际单位制	ypan
国际妇女节	ypdm
国际互联网	ypfw
国际奥委会	ypgu2
四两拨千斤	ypjh
国际大循环	ypnb
国际儿童节	ypsm
国际劳动节	yptm
国际博览会	ypyu
疑心生暗鬼	yqod
回旋加速器	yuav
四个现代化	yubb
形象代言人	yvlu
国内外市场	ywbd
国家所有制	ywbn
国家地震局	ywdj
国家海洋局	ywfj
国家测绘局	ywfj2
国家气象局	ywhj
国家公务员	ywnk2
国家物价局	ywoj
国家统计局	ywqj
国家教育部	ywrx
国家税务局	ywtj
国家旅游局	ywuj
十万八千里	yxnl
行行出状元	yyik
微型计算机	yyvs
疯疯癫癫	aaaa3
蹦蹦跳跳	aaaa4
踉踉跄跄	aaaa5
半真半假	aaal
车轱辘话	aaav
朝朝夕夕	aabb
辗转反侧	aabl
力疾从公	aabn
朝乾夕惕	aabr
边边角角	aacc
凤凰来仪	aacl
踊跃争先	aacn
连车平斗	aact
较瘦量肥	aacx
风风火火	aadd
距跃三百	aadr
疲癃残疾	aaea
轰轰烈烈	aaee
半路夫妻	aaef
虎踞龙盘	aaeg
疾风骤雨	aaek
车辙马迹	aaep
虎跳龙拿	aaep2
蹉跎自误	aaev
虎跃龙腾	aaex
踽踽独行	aaey2
凤凰涅槃	aafg
踌躇满志	aafi
冁然一笑	aafr
疮痍满目	aaft
轻虑浅谋	aafv
踞虎盘龙	aage
风风韵韵	aagg
乾乾翼翼	aagg2
蹉跎时日	aahh
风轻日暖	aahh2
轻轻巧巧	aahh3
轻轻易易	aahh4
疾风暴雨	aahk
装疯卖傻	aahl
